id	name	fips	sector
821	University of Hawaii-West Oahu	15	1
822	Windward Community College	15	4
823	Carrington College-Boise	16	6
824	Boise Bible College	16	2
825	Boise State University	16	1
826	Eastern Idaho Technical College	16	4
827	Idaho State University	16	1
828	University of Idaho	16	1
829	The College of Idaho	16	2
830	Lewis-Clark State College	16	1
831	ITT Technical Institute-Boise	16	3
832	Aveda Institute-Twin Falls	16	6
833	Mr Leon's School of Hair Design-Moscow	16	6
834	North Idaho College	16	4
835	Northwest Nazarene University	16	2
836	The School of Hairstyling	16	6
837	Brigham Young University-Idaho	16	2
838	College of Southern Idaho	16	4
839	Adler University	17	2
840	American Academy of Art	17	2
841	American Islamic College	17	2
842	School of the Art Institute of Chicago	17	2
843	Augustana College	17	2
844	Aurora University	17	2
845	Southwestern Illinois College	17	4
846	Bethany Theological Seminary	18	2
847	Black Hawk College	17	4
848	Blackburn College	17	2
849	Blessing Rieman College of Nursing	17	2
850	Blessing Hospital School of Radiologic Technology	17	5
851	Bradley University	17	2
